SiteID, Latitude, Longitude, Power Density [W/m2], SCORE-lite Capacity Factor [%], Wind Speed [m/s], State Code, Model Elevation [m]
1,31.192,-102.242,413.925,30.823,7.741,TX,849.5
2,31.192,-102.225,419.46,31.227,7.798,TX,859.4
3,31.192,-102.208,429.712,32.042,7.911,TX,873.6
4,31.208,-102.258,385.712,29.985,7.668,TX,902.7
5,31.208,-102.242,375.495,29.305,7.609,TX,908.1
6,31.208,-102.225,378.675,29.539,7.655,TX,915.9
7,31.208,-102.208,383.684,30.01,7.723,TX,922.4
8,31.225,-102.242,447.048,34.466,8.145,TX,947.9
9,31.225,-102.225,441.857,34.324,8.146,TX,953.1
10,31.225,-102.208,437.837,34.109,8.131,TX,948.7
11,31.275,-104.542,425.601,30.468,7.738,TX,1344.4
12,31.275,-104.525,453.123,31.794,7.907,TX,1363.2
13,31.292,-104.525,440.34,30.684,7.797,TX,1361.8
14,31.292,-104.458,562.009,33.463,8.075,TX,1284.2
15,31.292,-104.442,540.765,32.127,7.926,TX,1277.7
16,31.308,-104.508,477.308,31.735,7.911,TX,1344.1
17,31.308,-104.492,524.97,33.154,8.06,TX,1320.3
18,31.308,-104.475,516.722,32.106,7.947,TX,1309.2
19,31.325,-104.525,455.937,30.635,7.843,TX,1370.5
20,31.325,-104.458,523.132,31.632,7.966,TX,1320.3
21,31.342,-104.542,423.342,28.901,7.676,TX,1398.2
22,31.342,-104.458,486.605,30.157,7.812,TX,1341
23,31.342,-104.375,455.77,28.751,7.574,TX,1330.3
24,31.342,-104.358,454.683,28.451,7.485,TX,1298.3
25,31.358,-104.508,482.053,30.973,7.905,TX,1390.7
26,31.358,-104.442,502.848,30.961,7.913,TX,1347.8
27,31.358,-104.425,479.688,30.067,7.805,TX,1353.6
28,31.358,-104.408,487.624,30.527,7.854,TX,1358.1
29,31.358,-104.392,459.859,29.323,7.674,TX,1349
30,31.358,-104.375,467.813,29.509,7.662,TX,1330
31,31.375,-104.525,478.367,31.022,7.917,TX,1413.8
32,31.375,-104.408,491.21,30.845,7.845,TX,1332.6
33,31.392,-104.542,465.33,30.418,7.857,TX,1433.3
34,31.408,-109.125,295.806,18.818,5.877,AZ,1370.5
35,31.425,-109.125,309.784,19.303,5.973,AZ,1397.1
36,31.425,-109.108,327.062,20.361,6.177,AZ,1453.8
37,31.442,-109.142,312.467,19.372,5.99,AZ,1373.6
38,31.458,-109.142,315.884,19.746,6.067,AZ,1391.1
39,31.458,-104.608,448.976,30.747,7.966,TX,1598.9
40,31.458,-104.558,570.21,33.582,8.241,TX,1489.2
41,31.475,-109.142,301.744,19.348,6.032,AZ,1409.5
42,31.475,-104.625,400.703,28.565,7.709,TX,1614.1
43,31.492,-109.142,309.165,19.753,6.129,AZ,1433.1
44,31.492,-104.625,431.795,30.462,7.91,TX,1615.7
45,31.492,-104.558,653.29,34.848,8.4,TX,1440.9
46,31.492,-104.525,665.577,34.05,8.315,TX,1369.3
47,31.508,-110.008,385.98,23.113,6.62,AZ,1583.9
48,31.508,-109.992,337.69,22.302,6.547,AZ,1680.1
49,31.508,-109.142,304.28,19.568,6.168,AZ,1461.8
50,31.508,-104.642,430.075,30.301,7.848,TX,1554.7
51,31.508,-104.558,698.122,35.53,8.522,TX,1423.3
52,31.508,-104.542,678.72,34.27,8.356,TX,1387.3
53,31.508,-104.525,693.855,34.283,8.372,TX,1358.5
54,31.508,-104.508,658.115,33.344,8.228,TX,1335.3
55,31.525,-110.025,323.137,19.645,5.978,AZ,1451.6
56,31.525,-110.008,367.322,22.116,6.353,AZ,1515.5
