id,Latitude,Longitude,Min. Depth,Temp. Gradient
0,58.0681,-134.6169,44,11
0,56.8342,-133.3022,91,37
0,54.9019,-132.1333,77,17
0,40.5014,-122.6014,7,13
0,36.0017,-117.8839,15,79
0,35.9681,-117.8683,15,69
0,35.9358,-117.8675,15,48
0,36.0339,-117.8347,30,525
0,36.0172,-117.8167,15,821
0,36.0011,-117.785,15,338
0,35.9678,-117.7681,20,76
0,34.7342,-117.7678,130,23
0,36.0342,-117.7508,15,156
0,34.55,-117.7167,122,24
0,35.8683,-117.585,15,33
0,33.0842,-116.485,38,19
0,42.7344,-116.3022,12,140
0,42.9344,-116.2858,10,88
0,43.2333,-116.285,160,84
0,42.8672,-116.2678,7,174
0,43.0519,-116.2353,25,63
0,42.885,-116.2347,40,87
0,42.8517,-116.2011,50,102
0,42.8167,-116.1525,30,139
0,42.9017,-116.0681,10,143
0,43.4672,-116.0675,20,43
0,42.8172,-116.0186,30,59
0,33.7686,-115.9192,73,23
0,33.6833,-115.4183,46,17
0,42.7856,-115.2514,30,104
0,33.9022,-115.0686,61,24
0,42.5689,-114.9856,10,58
0,42.9011,-114.9014,10,102
0,43.0175,-114.7189,45,61
0,34.0667,-114.6692,46,28
0,47.0503,-114.2839,18,33
0,34.3503,-114.1669,91,23
0,42.6833,-113.4672,10,29
0,42.9669,-113.4506,15,23
0,42.1669,-113.4186,76,61
0,42.7358,-113.4006,10,25
0,43.5175,-113.2,20,9
0,43.6178,-113.0525,87,15
0,42.6686,-113.0517,20,10
0,43.6692,-113,20,49
0,43.3342,-112.9356,30,34
0,43.5008,-112.9339,20,16
0,43.6517,-112.8667,30,24
0,43.7181,-112.7681,30,77
0,43.6681,-112.7511,20,22
0,43.8178,-112.7353,70,100
0,43.7525,-112.6842,10,75
0,43.4844,-112.6833,20,31
0,43.8022,-112.5342,20,90
0,43.7667,-112.5192,20,44
0,44.0025,-112.485,25,30
0,44.1833,-112.4358,20,46
0,46.7511,-112.3672,88,74
0,43.7508,-112.2167,5,6
0,43.6186,-112.1525,5,36
0,43.6008,-112.0508,5,28
0,44.35,-112.0025,10,21
0,44.2167,-111.8847,20,7
0,44.4675,-111.8522,30,32
0,44.1189,-111.7681,10,7
0,44,-111.7339,20,45
0,44.4522,-111.7192,15,65
0,44.0353,-111.6842,20,28
0,43.9022,-111.5356,15,92
0,43.9011,-111.5192,10,122
0,44.4336,-111.4842,10,14
0,44.3172,-111.4506,100,52
0,43.9836,-111.3344,20,85
0,43.9514,-111.3344,10,76
0,32.8167,-109.5167,300,75
0,40.2333,-108.9333,1189,34
0,38.2,-108.8167,90,27
0,37.7833,-108.7667,130,37
0,38.95,-108.6167,140,27
0,39.9667,-108.4667,76,40
0,39.95,-108.3833,100,37
0,40.05,-108.3333,46,43
0,39.7667,-108.15,46,39
0,37.7008,-108.0019,300,80
0,37.05,-107.8,1006,54
0,37.8,-107.6167,160,36
0,37,-107.5167,1098,43
0,38.9167,-107.1167,300,29
0,39.0175,-107.0847,210,23
0,38.8847,-107.0511,710,37
0,37.9167,-106.95,80,68
0,38.9842,-106.9353,220,39
0,39.0003,-106.5008,200,21
0,39.2847,-106.4683,260,36
0,38.9678,-106.4336,400,35
0,39.3669,-106.1833,442,40
0,38.7833,-106.1667,260,39
0,40.4008,-105.9344,240,26
0,39.7517,-105.835,930,35
0,39.5678,-105.8019,490,29
0,39.65,-105.7344,100,34
0,39.7519,-105.6853,160,68
0,39.9022,-105.6006,200,25
0,38.2667,-105.5167,60,26
0,38.1347,-105.4347,100,40
0,39.8342,-105.2842,50,18
0,39.6692,-105.2344,90,24
0,37.2667,-105.2333,250,64
0,37.5333,-104.9,100,31
0,38.9667,-104.8833,60,30
0,39.85,-104.85,368,36
0,38.1667,-104.7833,60,45
0,38.3,-104.7667,80,51
0,38.1833,-104.7333,80,51
0,37.7667,-103.6167,50,32
0,38.3833,-98.1667,99,36
0,38.3667,-98.1667,128,40
0,39.0019,-95.4686,120,32
0,37.3186,-95.2008,70,53
0,38.4683,-94.9006,115,52
0,32.8169,-92.7347,60,22
0,31.885,-92.6667,20,13
0,32.0192,-92.2686,60,26
0,32.8192,-92.135,60,22
0,32.7189,-91.8836,60,26
0,33.9347,-90.7672,20,49
0,32.1014,-90.6181,80,25
0,32.3519,-89.5,120,21
0,32.2169,-87.6181,40,22
0,30.5833,-87.1167,160,40
0,30.7022,-87.0008,120,28
0,30.4003,-86.8681,60,22
0,30.3858,-86.5856,100,31
0,30.6172,-84.6344,60,26
0,38.9167,-77.1,256,16
0,38.0689,-75.7181,213,48
0,38.3844,-75.6844,213,52
0,38.0336,-75.6672,226,38
0,38.3347,-75.6011,226,37
0,38.1681,-75.5678,212,52
0,38.1675,-75.3689,234,33
0,38.4333,-75.0514,289,36
0,58.0681,-134.6169,55,13
0,56.8342,-133.3022,181,33
0,54.9019,-132.1333,152,21
0,40.5014,-122.6014,145,12
0,36.0017,-117.8839,40,57
0,35.9681,-117.8683,40,46
0,35.9358,-117.8675,65,29
0,36.0339,-117.8347,45,339
0,36.0172,-117.8167,30,423
0,36.0011,-117.785,39,250
0,35.9678,-117.7681,50,57
0,34.7342,-117.7678,175,23
0,36.0342,-117.7508,40,110
0,34.55,-117.7167,244,24
0,35.8683,-117.585,45,34
0,33.0842,-116.485,56,34
0,42.7344,-116.3022,20,78
0,42.9344,-116.2858,45,51
0,43.2333,-116.285,30,60
0,42.8672,-116.2678,15,125
0,42.885,-116.2347,40,155
0,42.8517,-116.2011,50,225
0,42.8167,-116.1525,70,65
0,42.9017,-116.0681,30,58
0,43.4672,-116.0675,210,31
0,42.8172,-116.0186,30,198
0,33.7686,-115.9192,122,17
0,33.6833,-115.4183,85,19
0,42.7856,-115.2514,100,55
0,33.9022,-115.0686,128,27
0,42.5689,-114.9856,10,83
0,43.0175,-114.7189,105,94
0,34.0667,-114.6692,122,30
0,47.0503,-114.2839,227,21
0,34.3503,-114.1669,118,28
0,42.6833,-113.4672,35,1
0,42.9669,-113.4506,155,24
0,42.1669,-113.4186,140,43
0,42.7358,-113.4006,110,12
0,43.5175,-113.2,230,3
0,43.6178,-113.0525,1000,39
0,42.6686,-113.0517,60,53
0,43.6692,-113,120,1
0,43.3342,-112.9356,120,10
0,43.5008,-112.9339,165,8
0,43.6517,-112.8667,100,58
0,43.7181,-112.7681,90,5
0,43.6681,-112.7511,130,22
0,43.8178,-112.7353,105,11
0,43.7525,-112.6842,95,16
0,43.4844,-112.6833,300,5
0,43.8022,-112.5342,70,1
0,43.7667,-112.5192,85,13
0,44.0025,-112.485,120,28
0,44.1833,-112.4358,105,29
0,46.7511,-112.3672,164,166
0,43.6833,-112.3003,130,7
0,43.7508,-112.2167,100,17
0,43.6186,-112.1525,45,3
0,44.35,-112.0025,125,67
0,44.2167,-111.8847,60,14
0,44.4675,-111.8522,60,9
0,43.8669,-111.8508,80,45
0,44.1189,-111.7681,190,17
0,44,-111.7339,50,21
0,44.4522,-111.7192,95,38
0,44.0353,-111.6842,105,21
0,43.9022,-111.5356,170,213
0,43.9011,-111.5192,60,133
0,44.4336,-111.4842,100,25
0,44.3172,-111.4506,180,65
0,43.9836,-111.3344,90,53
0,43.9514,-111.3344,80,58
0,32.8167,-109.5167,950,19
0,40.2333,-108.9333,1220,15
0,38.2,-108.8167,150,21
0,37.7833,-108.7667,170,27
0,38.95,-108.6167,170,26
0,39.9667,-108.4667,404,54
0,39.95,-108.3833,280,56
0,40.05,-108.3333,671,66
0,39.7667,-108.15,201,55
0,37.7008,-108.0333,140,87
0,37.05,-107.8,1159,49
0,37.8,-107.6167,300,36
0,37,-107.5167,1250,44
0,38.9167,-107.1167,580,32
0,39.0178,-107.0844,300,26
0,38.8844,-107.0508,860,36
0,37.9167,-106.95,183,41
0,38.9842,-106.9353,300,37
0,38.9833,-106.5181,240,25
0,39.285,-106.4689,270,36
0,38.9833,-106.4511,300,41
0,39.3669,-106.1833,80,61
0,38.7833,-106.1667,60,30
0,40.3858,-105.9678,360,43
0,39.7519,-105.8339,701,33
0,39.5681,-105.8025,300,30
0,39.4833,-105.7344,120,30
0,39.7667,-105.6858,40,28
0,39.9019,-105.5858,210,30
0,38.2667,-105.5167,120,26
0,38.1347,-105.4347,100,34
