Year,Week,uglo(average_of_day)
1998,1,3822
1998,2,3303.42857142857
1998,3,3647.14285714286
1998,4,4182.85714285714
1998,5,3835.71428571429
1998,6,3937.71428571429
1998,7,3763.71428571429
1998,8,4889.14285714286
1998,9,5715.42857142857
1998,10,5768.57142857143
1998,11,5402.57142857143
1998,12,6345.42857142857
1998,13,6065.14285714286
1998,14,6846.85714285714
1998,15,7138.28571428571
1998,16,7714.28571428571
1998,17,7820.57142857143
1998,18,7704
1998,19,7984.28571428571
1998,20,7410
1998,21,8452.28571428571
1998,22,7950.85714285714
1998,23,8408.57142857143
1998,24,8388.85714285714
1998,25,8432.57142857143
1998,26,8393.14285714286
1998,27,7479.42857142857
1998,28,8121.42857142857
1998,29,6604.28571428571
1998,30,7657.71428571429
1998,31,7577.14285714286
1998,32,6500.57142857143
1998,33,6967.71428571429
1998,34,6678
1998,35,5449.71428571429
1998,36,6420
1998,37,6528
1998,38,6120.85714285714
1998,39,5815.71428571429
1998,40,5773.71428571429
1998,41,5220.85714285714
1998,42,5021.14285714286
1998,43,4476
1998,44,4495.71428571429
1998,45,3726.85714285714
1998,46,3962.57142857143
1998,47,3788.57142857143
1998,48,3081.42857142857
1998,49,3279.42857142857
1998,50,3324.85714285714
1998,51,3390
1998,52,3415.71428571429
1999,1,3915.42857142857
1999,2,3178.28571428571
1999,3,3666.85714285714
1999,4,3692.57142857143
1999,5,3531.42857142857
1999,6,4562.57142857143
1999,7,4644.85714285714
1999,8,5010.85714285714
1999,9,5388.85714285714
1999,10,5639.14285714286
1999,11,5786.57142857143
1999,12,5863.71428571429
1999,13,6096.85714285714
1999,14,6593.14285714286
1999,15,6997.71428571429
1999,16,7188.85714285714
1999,17,7113.42857142857
1999,18,7275.42857142857
1999,19,8048.57142857143
1999,20,8168.57142857143
1999,21,8165.14285714286
1999,22,7404.85714285714
1999,23,8344.28571428571
1999,24,8309.14285714286
1999,25,8362.28571428571
1999,26,8149.71428571429
1999,27,6911.14285714286
1999,28,7116
1999,29,7809.42857142857
1999,30,7187.14285714286
1999,31,7340.57142857143
1999,32,7435.71428571429
1999,33,6918.85714285714
1999,34,6565.71428571429
1999,35,6546.85714285714
1999,36,5931.42857142857
1999,37,5986.28571428571
1999,38,4805.14285714286
1999,39,5809.71428571429
1999,40,5760
1999,41,5282.57142857143
1999,42,4938
1999,43,4711.71428571429
1999,44,4328.57142857143
1999,45,3994.28571428571
1999,46,4008.85714285714
1999,47,3780.85714285714
1999,48,3463.71428571429
1999,49,3145.71428571429
1999,50,3356.57142857143
1999,51,3369.42857142857
1999,52,3208.28571428571
2000,1,3990.85714285714
2000,2,3475.71428571429
2000,3,2867.14285714286
2000,4,3816
2000,5,3723.42857142857
2000,6,3967.71428571429
2000,7,3944.57142857143
2000,8,4389.42857142857
2000,9,4787.14285714286
2000,10,4829.14285714286
2000,11,6145.71428571429
2000,12,5932.28571428571
2000,13,6105.42857142857
2000,14,6814.28571428571
2000,15,7272.85714285714
2000,16,7402.28571428571
2000,17,7758
2000,18,7670.57142857143
2000,19,7870.28571428571
2000,20,7780.28571428571
2000,21,8255.14285714286
2000,22,8204.57142857143
2000,23,8124.85714285714
2000,24,8272.28571428571
2000,25,7863.42857142857
2000,26,6918
2000,27,7961.14285714286
2000,28,7235.14285714286
2000,29,7569.42857142857
2000,30,7032
2000,31,7253.14285714286
2000,32,7326.85714285714
2000,33,6654.85714285714
2000,34,6192.85714285714
2000,35,5730
2000,36,6506.57142857143
2000,37,6399.42857142857
2000,38,5987.14285714286
2000,39,5720.57142857143
2000,40,5772
2000,41,4936.28571428571
2000,42,4924.28571428571
2000,43,3888
2000,44,4039.71428571429
2000,45,3624.85714285714
2000,46,3851.14285714286
2000,47,3457.71428571429
2000,48,3486
2000,49,3160.28571428571
2000,50,3180
2000,51,3289.71428571429
2000,52,3327.42857142857
2001,1,3232.28571428571
2001,2,2960.57142857143
2001,3,3769.71428571429
2001,4,3611.14285714286
2001,5,4209.42857142857
2001,6,4473.42857142857
2001,7,4207.71428571429
2001,8,4019.14285714286
2001,9,4427.14285714286
2001,10,4732.28571428571
2001,11,6198.85714285714
2001,12,6374.57142857143
2001,13,6624.85714285714
2001,14,6691.71428571429
2001,15,7236.85714285714
2001,16,6584.57142857143
2001,17,7860.85714285714
2001,18,7718.57142857143
2001,19,7272
2001,20,7788.85714285714
2001,21,8039.14285714286
2001,22,8280
2001,23,8382
2001,24,8280
2001,25,6795.42857142857
2001,26,7781.14285714286
2001,27,6308.57142857143
2001,28,8054.57142857143
2001,29,7848
2001,30,7299.42857142857
2001,31,7418.57142857143
2001,32,6856.28571428571
2001,33,6851.14285714286
2001,34,6896.57142857143
2001,35,6152.57142857143
2001,36,6634.28571428571
2001,37,6161.14285714286
2001,38,6066.85714285714
2001,39,5443.71428571429
2001,40,5442.85714285714
2001,41,5190.85714285714
2001,42,4850.57142857143
2001,43,4728
2001,44,4445.14285714286
2001,45,4246.28571428571
2001,46,3885.42857142857
2001,47,3484.28571428571
2001,48,3226.28571428571
2001,49,3408.85714285714
2001,50,3284.57142857143
2001,51,3415.71428571429
2001,52,2747.14285714286
2002,1,3690.85714285714
2002,2,2990.57142857143
2002,3,3738
2002,4,3421.71428571429
2002,5,4170.85714285714
2002,6,4652.57142857143
2002,7,4029.42857142857
2002,8,4769.14285714286
2002,9,5166
2002,10,5187.42857142857
2002,11,5862
2002,12,6131.14285714286
2002,13,6528.85714285714
2002,14,6954.85714285714
2002,15,7163.14285714286
2002,16,7466.57142857143
2002,17,6570.85714285714
2002,18,7739.14285714286
2002,19,7977.42857142857
2002,20,8110.28571428571
2002,21,8150.57142857143
2002,22,7636.28571428571
2002,23,8328
2002,24,8247.42857142857
2002,25,8052.85714285714
2002,26,8021.14285714286
2002,27,7961.14285714286
2002,28,7040.57142857143
2002,29,7844.57142857143
2002,30,7498.28571428571
2002,31,6848.57142857143
2002,32,7169.14285714286
2002,33,7217.14285714286
2002,34,6934.28571428571
2002,35,6662.57142857143
2002,36,5046.85714285714
2002,37,6445.71428571429
2002,38,5793.42857142857
2002,39,5543.14285714286
2002,40,5287.71428571429
2002,41,4589.14285714286
2002,42,4941.42857142857
2002,43,4628.57142857143
2002,44,4258.28571428571
2002,45,4080
2002,46,3876
2002,47,3443.14285714286
2002,48,2793.42857142857
2002,49,3338.57142857143
2002,50,3293.14285714286
2002,51,2511.42857142857
2002,52,3294
2003,1,3818.57142857143
2003,2,3636.85714285714
2003,3,3711.42857142857
2003,4,3787.71428571429
2003,5,4234.28571428571
2003,6,3253.71428571429
2003,7,4188
2003,8,4619.14285714286
2003,9,4340.57142857143
2003,10,5976
2003,11,5340.85714285714
2003,12,6458.57142857143
2003,13,6688.28571428571
2003,14,7025.14285714286
2003,15,6784.28571428571
2003,16,6896.57142857143
2003,17,7800
2003,18,7355.14285714286
2003,19,7099.71428571429
2003,20,8059.71428571429
2003,21,8274
2003,22,8284.28571428571
2003,23,8242.28571428571
2003,24,7954.28571428571
2003,25,7734.85714285714
2003,26,8021.14285714286
2003,27,7824
2003,28,7138.28571428571
2003,29,5567.14285714286
2003,30,6578.57142857143
2003,31,6871.71428571429
2003,32,6750.85714285714
2003,33,6022.28571428571
2003,34,5811.42857142857
2003,35,6496.28571428571
2003,36,6283.71428571429
2003,37,6322.28571428571
2003,38,5539.71428571429
2003,39,5698.28571428571
2003,40,5395.71428571429
2003,41,5225.14285714286
2003,42,4950
2003,43,4508.57142857143
2003,44,4176.85714285714
2003,45,2873.14285714286
2003,46,3956.57142857143
2003,47,3702.85714285714
2003,48,3478.28571428571
2003,49,3390
2003,50,3241.71428571429
2003,51,3094.28571428571
2003,52,2857.71428571429
2004,1,3688.28571428571
2004,2,3525.42857142857
2004,3,2701.71428571429
2004,4,3912
2004,5,3930.85714285714
2004,6,1584.85714285714
2004,7,3091.71428571429
2004,8,3718.28571428571
2004,9,4830
2004,10,5934
2004,11,6149.14285714286
2004,12,6113.14285714286
2004,13,6649.71428571429
2004,14,5836.28571428571
2004,15,7306.28571428571
2004,16,7416.85714285714
2004,17,7573.71428571429
2004,18,7841.14285714286
2004,19,7788
2004,20,7871.14285714286
2004,21,8226
2004,22,8316
2004,23,8313.42857142857
2004,24,8253.42857142857
2004,25,8370.85714285714
2004,26,8002.28571428571
2004,27,7602.85714285714
2004,28,6987.42857142857
2004,29,7641.42857142857
2004,30,7631.14285714286
