 Longitude, Latitude, Power Density [W/m2]
-102.242,31.192,413.925
-102.225,31.192,419.46
-102.208,31.192,429.712
-102.258,31.208,385.712
-102.242,31.208,375.495
-102.225,31.208,378.675
-102.208,31.208,383.684
-102.242,31.225,447.048
-102.225,31.225,441.857
-102.208,31.225,437.837
-104.542,31.275,425.601
-104.525,31.275,453.123
-104.525,31.292,440.34
-104.458,31.292,562.009
-104.442,31.292,540.765
-104.508,31.308,477.308
-104.492,31.308,524.97
-104.475,31.308,516.722
-104.525,31.325,455.937
-104.458,31.325,523.132
-104.542,31.342,423.342
-104.458,31.342,486.605
-104.375,31.342,455.77
-104.358,31.342,454.683
-104.508,31.358,482.053
-104.442,31.358,502.848
-104.425,31.358,479.688
-104.408,31.358,487.624
-104.392,31.358,459.859
-104.375,31.358,467.813
-104.525,31.375,478.367
-104.408,31.375,491.21
-104.542,31.392,465.33
-109.125,31.408,295.806
-109.125,31.425,309.784
-109.108,31.425,327.062
-109.142,31.442,312.467
-109.142,31.458,315.884
-104.608,31.458,448.976
-104.558,31.458,570.21
-109.142,31.475,301.744
-104.625,31.475,400.703
-109.142,31.492,309.165
-104.625,31.492,431.795
-104.558,31.492,653.29
-104.525,31.492,665.577
-110.008,31.508,385.98
-109.992,31.508,337.69
-109.142,31.508,304.28
-104.642,31.508,430.075
-104.558,31.508,698.122
-104.542,31.508,678.72
-104.525,31.508,693.855
-104.508,31.508,658.115
-110.025,31.525,323.137
-110.008,31.525,367.322
-109.992,31.525,328.113
-109.142,31.525,303.231
-104.642,31.525,445.469
-104.558,31.525,685.761
-104.542,31.525,669.011
-104.525,31.525,688.484
-110.008,31.542,394.294
-109.992,31.542,360.156
-104.592,31.542,655.477
-104.575,31.542,661.416
-104.558,31.542,711.764
-104.542,31.542,696.284
-104.525,31.542,700.949
-104.508,31.542,668.669
-109.992,31.558,326.956
-109.975,31.558,344.927
-104.592,31.558,656.596
-104.575,31.558,656.555
-104.558,31.558,703.885
-104.542,31.558,689.085
-104.525,31.558,695.44
-104.508,31.558,663.273
-104.592,31.575,672.768
-104.575,31.575,671.072
-104.558,31.575,695.533
-104.542,31.575,681.554
-104.525,31.575,685.798
-104.658,31.592,474.959
-104.592,31.592,662.285
-104.575,31.592,660.194
-104.558,31.592,684.349
-104.542,31.592,670.163
-104.525,31.592,671.815
-108.808,31.608,554.091
-104.708,31.608,407.921
-104.692,31.608,430.13
